1,3,1
2,4,1
3,5,1
3,6,1
4,6,1
4,8,1
7,11,1
9,12,1
10,11,1
10,12,1
11,13,1
12,14,1
0,1,2
0,2,2
1,5,2
1,6,2
2,6,2
2,8,2
3,4,2
5,6,2
6,8,2
7,10,2
7,13,2
9,10,2
9,14,2
10,13,2
10,14,2
11,12,2
13,15,2
14,15,2
0,3,3
0,4,3
1,4,3
2,3,3
3,8,3
4,5,3
5,7,3
7,12,3
8,9,3
9,11,3
11,14,3
11,15,3
12,13,3
12,15,3
0,5,4
0,6,4
0,8,4
1,2,4
1,8,4
2,5,4
3,7,4
4,9,4
5,8,4
5,11,4
7,9,4
7,14,4
7,15,4
8,12,4
9,13,4
9,15,4
10,15,4
13,14,4
1,7,5
2,9,5
3,11,5
4,12,5
5,10,5
5,13,5
6,7,5
6,9,5
8,10,5
8,14,5
1,11,6
2,12,6
3,9,6
3,10,6
3,13,6
4,7,6
4,10,6
4,14,6
5,12,6
6,11,6
6,12,6
8,11,6
0,7,7
0,9,7
1,9,7
1,10,7
1,13,7
2,7,7
2,10,7
2,14,7
3,12,7
4,11,7
5,9,7
5,14,7
5,15,7
6,10,7
6,13,7
6,14,7
7,8,7
8,13,7
8,15,7
0,11,8
0,12,8
1,12,8
2,11,8
3,14,8
3,15,8
4,13,8
4,15,8
0,10,9
0,13,9
0,14,9
1,14,9
1,15,9
2,13,9
2,15,9
6,15,9
0,15,11
